Id,AI declaration,Date of birth,Source of wealth salary,Source of wealth investment gain,Source of wealth inheritance,Source of wealth rental income,Source of wealth business revenue,Source of wealth other,Source of funds salary,Source of funds investment gain,Source of funds inheritance,Source of funds rental income,Source of funds business revenue,Source of funds other,default
3877,False,13.03.1957,False,False,False,False,True,IP ownership,False,False,False,False,False,Gift,False
4537,False,11.05.1983,True,False,False,False,True,IP ownership,True,False,True,False,True,Grant,False
4251,True,16.05.1956,True,True,True,True,False,Royalty earnings,False,True,True,True,True,Grant,True
9630,False,16.09.1999,True,True,False,True,True,Crypto holdings,True,True,False,True,True,Pension,False
1773,False,19.05.1956,False,False,True,True,True,IP ownership,False,False,True,False,False,Pension,False
7230,True,13.11.1972,True,False,True,False,True,IP ownership,True,True,False,False,True,Pension,False
9897,False,16.06.1957,False,True,True,False,False,IP ownership,True,True,True,False,True,Pension,False
5698,True,10.01.1956,True,True,False,False,True,Royalty earnings,False,False,False,True,True,Gift,False
9012,False,12.03.1988,True,True,True,False,True,IP ownership,False,True,False,True,False,Grant,False
6684,False,09.07.1980,False,True,False,True,True,Crypto holdings,True,True,False,True,True,Grant,False
2875,False,15.07.1983,True,False,True,True,False,Crypto holdings,False,False,True,False,False,Grant,False
1024,False,02.04.1957,False,True,True,True,False,Crypto holdings,False,True,False,False,False,Grant,False
8830,False,06.02.1982,False,False,True,True,True,Crypto holdings,False,True,True,False,True,Gift,False
1886,True,02.05.1970,False,True,False,True,True,IP ownership,True,False,True,True,False,Pension,True
6757,False,03.06.1990,True,True,True,False,False,Royalty earnings,False,False,True,False,True,Pension,True
7369,True,08.05.1996,False,False,False,True,True,Crypto holdings,True,True,True,False,True,Pension,False
5941,True,02.03.1994,True,False,True,False,False,Crypto holdings,False,True,False,False,False,Pension,False
6154,False,07.06.1990,False,False,False,False,True,IP ownership,False,False,True,True,False,Gift,False
4262,False,14.09.1993,True,False,False,False,False,Crypto holdings,True,False,False,True,True,Pension,False
1322,True,11.08.1988,False,True,True,False,True,IP ownership,False,False,False,False,True,Pension,False
5882,True,01.03.2003,True,False,True,False,True,Royalty earnings,False,True,False,False,True,Grant,False
4037,False,14.11.1989,False,True,True,False,True,IP ownership,False,True,True,True,False,Gift,False
9182,False,09.09.1991,False,True,True,False,True,Royalty earnings,True,True,False,False,True,Gift,False
9077,False,17.12.1969,False,True,False,True,False,IP ownership,False,False,False,False,True,Grant,False
7756,True,19.12.2003,True,False,False,True,False,Crypto holdings,True,False,False,True,False,Pension,False
5181,True,19.09.1965,True,True,True,True,True,Crypto holdings,False,True,False,False,True,Gift,False
5253,False,12.04.1983,False,True,False,False,True,IP ownership,True,False,True,True,True,Gift,True
2149,True,23.06.1955,True,True,True,True,False,Crypto holdings,True,True,False,True,True,Grant,False
3035,True,11.06.1981,False,False,False,True,True,Crypto holdings,True,False,False,True,False,Grant,False
8008,True,09.05.1961,True,False,False,False,False,Crypto holdings,False,False,True,False,True,Pension,False
1653,False,04.01.1968,False,True,True,False,True,Crypto holdings,False,False,True,True,True,Pension,True
7904,False,14.10.1993,False,False,False,True,False,IP ownership,True,True,True,True,True,Gift,False
3075,True,25.12.1955,False,True,True,True,True,IP ownership,False,False,True,False,False,Pension,False
8076,False,16.04.1958,True,True,False,True,False,Crypto holdings,False,False,False,True,False,Grant,True
7666,True,12.02.2002,True,True,False,True,True,IP ownership,False,True,False,True,True,Pension,False
6776,False,23.11.1995,False,True,False,False,True,Crypto holdings,False,True,False,True,True,Pension,False
4678,False,01.10.1999,False,False,False,False,False,IP ownership,False,True,True,True,False,Gift,False
6308,True,18.07.1995,False,True,False,False,True,Crypto holdings,True,False,False,True,False,Gift,False
2323,False,03.04.1976,True,True,False,True,True,IP ownership,True,True,False,False,False,Grant,True
5277,False,26.03.1966,False,False,False,True,False,IP ownership,True,False,False,True,True,Pension,False
2656,False,27.11.1962,True,True,False,True,True,IP ownership,True,False,True,True,True,Grant,False
6557,False,22.07.1976,True,False,True,True,False,Royalty earnings,True,True,False,True,False,Gift,False
6718,True,28.07.1997,False,True,True,True,False,IP ownership,True,True,False,False,False,Gift,False
7373,False,24.05.1991,False,True,False,False,False,IP ownership,True,True,True,True,False,Pension,False
2601,True,23.06.1985,False,False,False,False,True,Crypto holdings,False,True,False,True,True,Gift,False
3261,False,16.02.1989,False,False,True,True,True,IP ownership,False,False,True,False,False,Pension,False
5617,True,26.08.1985,True,False,True,False,False,Royalty earnings,True,True,False,False,True,Gift,False
7346,False,29.04.1995,False,True,False,False,False,IP ownership,True,True,True,False,True,Grant,False
5400,False,23.05.1977,True,True,False,True,False,Crypto holdings,False,False,True,False,True,Grant,True
3571,False,03.10.1992,True,True,False,True,False,Royalty earnings,True,False,False,True,True,Grant,False
5011,False,03.03.1999,False,True,False,False,False,Royalty earnings,False,False,False,False,True,Gift,False
4724,True,03.01.1963,True,False,True,True,False,Royalty earnings,True,True,False,False,False,Pension,False
2643,True,06.02.1969,True,True,True,False,True,Crypto holdings,True,False,False,True,False,Grant,False
6153,True,06.06.1980,True,True,False,False,True,Crypto holdings,True,True,True,True,False,Gift,True
6458,False,22.08.1986,False,False,False,True,True,Crypto holdings,False,True,False,False,False,Grant,False
4262,True,12.04.1967,True,True,False,True,False,IP ownership,False,False,True,True,False,Pension,False
3568,False,14.07.1984,True,False,True,True,True,IP ownership,True,False,True,True,False,Grant,False
5289,False,28.05.1976,False,True,False,True,False,Royalty earnings,True,True,False,True,False,Pension,True
1380,True,15.03.1987,True,False,True,True,True,Crypto holdings,True,True,True,False,True,Pension,False
6014,True,15.04.1969,False,False,True,False,False,Crypto holdings,False,True,True,True,True,Grant,False
4726,True,25.03.1998,False,True,True,True,True,Crypto holdings,True,False,True,False,True,Gift,False
6724,True,30.11.1976,True,True,True,True,False,Royalty earnings,True,False,False,True,False,Grant,False
9110,False,17.08.1977,True,False,True,False,False,Crypto holdings,False,False,False,False,True,Grant,False
